AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target
0.8937396121883657,0.6182820774312703,0.8052631578947368,0.7885714285714286,0.8840940187690258,1,RF,morgan_delta_opp,F/L_class
0.8783379501385041,0.5756419341601482,0.7842105263157895,0.7657142857142857,0.8790746704968434,2,RF,morgan_delta_opp,F/L_class
0.8380055401662049,0.4975007565834653,0.7473684210526316,0.7333333333333333,0.8327181449463177,3,RF,morgan_delta_opp,F/L_class
0.843213296398892,0.5214831997315158,0.7578947368421053,0.7386363636363636,0.8444747052153797,4,RF,morgan_delta_opp,F/L_class
0.9377285318559556,0.6767278951005018,0.8368421052631579,0.8287292817679558,0.9335798719868744,0,RF,morgan_delta_nos,R/S_class
0.9084764542936288,0.5969620057957092,0.7947368421052632,0.7771428571428571,0.9101139775855384,1,RF,morgan_delta_nos,R/S_class
0.9394459833795014,0.6880329612324521,0.8421052631578947,0.8333333333333334,0.9350420251557117,2,RF,morgan_delta_nos,R/S_class
0.8853739612188365,0.5640532568524559,0.7789473684210526,0.7613636363636364,0.8962800895016466,3,RF,morgan_delta_nos,R/S_class
0.9490304709141275,0.7092032061934506,0.8526315789473684,0.8444444444444444,0.9409825209490252,4,RF,morgan_delta_nos,R/S_class
0.7844875346260387,0.4050813610756598,0.7,0.7219512195121951,0.7983549479304097,0,RF,morgan_delta_nos,@/@@_class
0.7735180055401661,0.34930904185647565,0.6736842105263158,0.69,0.7837180569154107,1,RF,morgan_delta_nos,@/@@_class
0.740443213296399,0.3166502481905618,0.6578947368421053,0.6700507614213198,0.7547841437033069,2,RF,morgan_delta_nos,@/@@_class
0.7785595567867035,0.3391231227194379,0.6684210526315789,0.6480446927374302,0.7952554870054028,3,RF,morgan_delta_nos,@/@@_class
0.7174515235457063,0.2660628570058754,0.631578947368421,0.6568627450980392,0.7092761401195484,4,RF,morgan_delta_nos,@/@@_class
0.8742382271468144,0.6033519813884579,0.8,0.7888888888888889,0.8561954179967077,0,RF,morgan_delta_nos,F/L_class
0.8568421052631578,0.5001981711710458,0.7473684210526316,0.7272727272727273,0.8441015933989375,1,RF,morgan_delta_nos,F/L_class
0.8473684210526315,0.494195298982571,0.7421052631578947,0.7134502923976608,0.8468449529534836,2,RF,morgan_delta_nos,F/L_class
0.8242105263157894,0.48748948890919197,0.7421052631578947,0.7262569832402235,0.8192699142907822,3,RF,morgan_delta_nos,F/L_class
0.8411080332409971,0.4921545663875499,0.7421052631578947,0.7167630057803468,0.8423010970638969,4,RF,morgan_delta_nos,F/L_class
0.9463157894736842,0.6880329612324521,0.8421052631578947,0.85,0.9471500032814949,0,RF,morgan_cgr,R/S_class
0.9234349030470914,0.6740203709938154,0.8368421052631579,0.8342245989304813,0.9235261703972213,1,RF,morgan_cgr,R/S_class
0.945595567867036,0.736882930933204,0.868421052631579,0.8677248677248677,0.945062083558174,2,RF,morgan_cgr,R/S_class
0.8885872576177285,0.5897678246195885,0.7947368421052632,0.7979274611398963,0.9039997502406429,3,RF,morgan_cgr,R/S_class
0.950360110803324,0.7401711352661738,0.868421052631579,0.8743718592964824,0.9461219496333365,4,RF,morgan_cgr,R/S_class
0.8173961218836565,0.4450990985692622,0.7210526315789474,0.736318407960199,0.8282795571964685,0,RF,morgan_cgr,@/@@_class
0.7702493074792243,0.3579145664532705,0.6789473684210526,0.680628272251309,0.7772851214877533,1,RF,morgan_cgr,@/@@_class
0.7472576177285319,0.30526315789473685,0.6526315789473685,0.6526315789473685,0.7679779303076544,2,RF,morgan_cgr,@/@@_class
0.8012742382271467,0.39025280549552727,0.6947368421052632,0.7040816326530612,0.8143388431584174,3,RF,morgan_cgr,@/@@_class
0.7566759002770083,0.41198970932441986,0.7052631578947368,0.7171717171717171,0.7549152215167867,4,RF,morgan_cgr,@/@@_class
0.8603324099722992,0.5075459213253763,0.7526315789473684,0.7403314917127072,0.8646193980076536,0,RF,morgan_cgr,F/L_class
0.8747368421052631,0.6108309612131453,0.8052631578947368,0.8082901554404145,0.8569404877819926,1,RF,morgan_cgr,F/L_class
0.8705817174515236,0.5692099788303082,0.7842105263157895,0.7897435897435897,0.8738701255715342,2,RF,morgan_cgr,F/L_class
0.8399445983379502,0.45353704422453167,0.7263157894736842,0.7346938775510204,0.8375930837811205,3,RF,morgan_cgr,F/L_class
0.8504155124653741,0.4975007565834653,0.7473684210526316,0.7333333333333333,0.8522732331218772,4,RF,morgan_cgr,F/L_class
