AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,fp_size
0.8181163434903047,0.8252324708793471,0.4324422979815302,0.7157894736842105,0.7244897959183674,0.5,0.451221794723217,0.7210526315789474,0.7464114832535885,0.49245402931031557,3,RF,morgan_count_chiral,@/@@_class,test,2048
0.9756795445684876,0.9764513486291836,0.8161810830662976,0.9079930994824612,0.9069767441860465,0.5,0.599770488567738,0.7650948821161587,0.6934333958724203,0.5520058217694339,4,RF,morgan_count_chiral,@/@@_class,train,2048
0.7534626038781164,0.7742677212777963,0.365274786204509,0.6789473684210526,0.6432748538011696,0.5,0.3951407567000435,0.6421052631578947,0.45161290322580644,0.5520058217694339,4,RF,morgan_count_chiral,@/@@_class,val,2048
0.7613850415512465,0.735839888814002,0.3501732805729246,0.6736842105263158,0.651685393258427,0.5,0.294267821039378,0.6210526315789474,0.47058823529411764,0.5520058217694339,4,RF,morgan_count_chiral,@/@@_class,test,2048
0.9811393128780231,0.9818728841850255,0.8384440724140001,0.9192064404830362,0.9195533924992843,0.5,0.79794693351494,0.8936170212765957,0.8841577958672511,0.5150755378711964,0,RF,morgan_count_chiral,F/L_class,train,2048
0.8423268698060941,0.8388719720444244,0.4948465155364719,0.7473684210526316,0.75,0.5,0.537168803241925,0.7631578947368421,0.7368421052631579,0.5150755378711964,0,RF,morgan_count_chiral,F/L_class,val,2048
0.8165650969529086,0.8246047736439022,0.43157894736842106,0.7157894736842105,0.7157894736842105,0.5,0.40824829046386296,0.7,0.6666666666666666,0.5150755378711964,0,RF,morgan_count_chiral,F/L_class,test,2048
0.978262113189254,0.9793935278226978,0.8219127662374285,0.9108683151236343,0.9117814456459875,0.5,0.8021505455113184,0.8959171937895342,0.9036208732694355,0.48720297344425995,1,RF,morgan_count_chiral,F/L_class,train,2048
0.8266481994459834,0.8361575729732682,0.4542450641269245,0.7263157894736842,0.7373737373737373,0.5,0.5019011475427825,0.7421052631578947,0.772093023255814,0.48720297344425995,1,RF,morgan_count_chiral,F/L_class,val,2048
0.8572299168975069,0.8499661016510469,0.5476415514324751,0.7736842105263158,0.7700534759358288,0.5,0.5699704467430112,0.7842105263157895,0.7918781725888325,0.48720297344425995,1,RF,morgan_count_chiral,F/L_class,test,2048
