AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target,split,stopped_epoch
0.4807215055217698,-0.018401383145943015,0.4907993099482461,0.4906528616623526,0.48805366621237356,2,chemprop,exp_2_cip_rs_multitask,@/@@_class,train,50
0.517142997915758,0.023002367870611416,0.5115008625646924,0.5133199656258952,0.519626964431278,2,chemprop,exp_2_cip_rs_multitask,F/L_class,train,50
1.0,0.9895285072531597,0.9947368421052631,0.9947643979057592,1.0,2,chemprop,exp_2_cip_rs_multitask,R/S_class,val,50
0.7213296398891966,0.3053308287352699,0.6526315789473685,0.648936170212766,0.7169190925966593,2,chemprop,exp_2_cip_rs_multitask,@/@@_class,val,50
0.8891966759002771,0.6005325641789633,0.8,0.8041237113402062,0.8923833845209436,2,chemprop,exp_2_cip_rs_multitask,F/L_class,val,50
0.9965650969529085,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9969787892475903,2,chemprop,exp_2_cip_rs_multitask,R/S_class,test,50
0.8,0.3789683644799335,0.6894736842105263,0.6910994764397905,0.8136207790316272,2,chemprop,exp_2_cip_rs_multitask,@/@@_class,test,50
0.8236011080332409,0.5059644256269407,0.7526315789473684,0.7589743589743589,0.8183041151160129,2,chemprop,exp_2_cip_rs_multitask,F/L_class,test,50
0.5000297607139397,-0.006325478593932376,0.4968372627947096,0.4965477560414269,0.5015225049119318,3,chemprop,exp_2_cip_rs_multitask,R/S_class,train,50
0.49449509460765617,-0.014379159661256621,0.4928119608970673,0.4875072632190587,0.4959004659523157,3,chemprop,exp_2_cip_rs_multitask,@/@@_class,train,50
0.48729630858024525,-0.006900774258551441,0.4965497412305923,0.4987117091325508,0.48706806693702653,3,chemprop,exp_2_cip_rs_multitask,F/L_class,train,50
0.9995567867036012,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9995601771540753,3,chemprop,exp_2_cip_rs_multitask,R/S_class,val,50
0.8021052631578947,0.4105263157894737,0.7052631578947368,0.7052631578947368,0.8059926979159324,3,chemprop,exp_2_cip_rs_multitask,@/@@_class,val,50
0.7458171745152354,0.3789683644799335,0.6894736842105263,0.6878306878306878,0.7486805812478033,3,chemprop,exp_2_cip_rs_multitask,F/L_class,val,50
0.9998891966759003,0.9895285072531597,0.9947368421052631,0.9947089947089947,0.9998903508771931,3,chemprop,exp_2_cip_rs_multitask,R/S_class,test,50
0.8424376731301939,0.6210526315789474,0.8105263157894737,0.8105263157894737,0.832027226611076,3,chemprop,exp_2_cip_rs_multitask,@/@@_class,test,50
0.7961218836565097,0.49473684210526314,0.7473684210526316,0.7473684210526316,0.7995474877959435,3,chemprop,exp_2_cip_rs_multitask,F/L_class,test,50
0.49368064306950676,-0.011500864466214384,0.4942495687176538,0.4943949410750216,0.49660846976314216,4,chemprop,exp_2_cip_rs_multitask,R/S_class,train,50
0.49116139863451236,-0.015526534131327978,0.49223691776883266,0.49047893825735717,0.4939908962892717,4,chemprop,exp_2_cip_rs_multitask,@/@@_class,train,50
0.4904691313608152,-0.021867875218595418,0.4890741805635423,0.4790384051597772,0.4970531664703196,4,chemprop,exp_2_cip_rs_multitask,F/L_class,train,50
0.9995567867036012,0.9789473684210527,0.9894736842105263,0.9894736842105263,0.9995601771540752,4,chemprop,exp_2_cip_rs_multitask,R/S_class,val,50
0.8357894736842105,0.5369611126034057,0.7684210526315789,0.7708333333333334,0.8279191672233075,4,chemprop,exp_2_cip_rs_multitask,@/@@_class,val,50
0.8422160664819944,0.5790757096703395,0.7894736842105263,0.7872340425531915,0.8456212998063601,4,chemprop,exp_2_cip_rs_multitask,F/L_class,val,50
0.9994459833795014,0.9578947368421052,0.9789473684210527,0.9789473684210527,0.9994516822325611,4,chemprop,exp_2_cip_rs_multitask,R/S_class,test,50
0.8150692520775623,0.3895600228691375,0.6947368421052632,0.6914893617021277,0.8193987961502653,4,chemprop,exp_2_cip_rs_multitask,@/@@_class,test,50
0.8549584487534626,0.5794612461375961,0.7894736842105263,0.7849462365591398,0.8333806233123119,4,chemprop,exp_2_cip_rs_multitask,F/L_class,test,50
