AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,epochs_run,best_epoch,best_score,es_triggered,monitor,min_epochs,max_epochs,patience,min_delta,run_tag
0.7782825484764544,0.7732377633911505,0.3595116942721416,0.6789473684210526,0.6629834254143646,0.5,0.4708912368250362,0.7157894736842105,0.7631578947368421,0.26584821939468384,2,chemprop,exp_1_default_parity_singletask,F/L_class,val,43,32,0.5807027816772461,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7685318559556787,0.7609669807613698,0.38981938376529196,0.6947368421052632,0.6881720430107527,0.5,0.3585685828003181,0.6578947368421053,0.723404255319149,0.26584821939468384,2,chemprop,exp_1_default_parity_singletask,F/L_class,test,43,32,0.5807027816772461,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.783063243831844,0.7801639663983106,0.42274729404094463,0.7113283496262219,0.7142857142857143,0.5,0.4233998548521366,0.7116158711903393,0.7074948964712744,0.5110357999801636,3,chemprop,exp_1_default_parity_singletask,F/L_class,train,25,14,0.658916175365448,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.6603878116343491,0.6489888104517931,0.27443021509848686,0.6368421052631579,0.6229508196721312,0.5,0.3069685519344786,0.6526315789473685,0.6333333333333333,0.5110357999801636,3,chemprop,exp_1_default_parity_singletask,F/L_class,val,25,14,0.658916175365448,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7890304709141274,0.7926035674178362,0.4633890050582481,0.7315789473684211,0.7272727272727273,0.5,0.47410465593076045,0.7368421052631579,0.7311827956989247,0.5110357999801636,3,chemprop,exp_1_default_parity_singletask,F/L_class,test,25,14,0.658916175365448,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.813802423910948,0.8091562462496164,0.45742559412522055,0.7208165612420931,0.7529890613075553,0.5,0.4680851837749254,0.7340425531914894,0.7341189997125611,0.5596565008163452,4,chemprop,exp_1_default_parity_singletask,F/L_class,train,24,13,0.6357096433639526,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.7103601108033241,0.6971625514111225,0.26940795304016235,0.6263157894736842,0.6816143497757847,0.5,0.3579145664532705,0.6789473684210526,0.680628272251309,0.5596565008163452,4,chemprop,exp_1_default_parity_singletask,F/L_class,val,24,13,0.6357096433639526,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.755235457063712,0.7478765885907248,0.4199378836053691,0.7052631578947368,0.7333333333333333,0.5,0.4106173214026044,0.7052631578947368,0.7021276595744681,0.5596565008163452,4,chemprop,exp_1_default_parity_singletask,F/L_class,test,24,13,0.6357096433639526,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9219647626533463,0.92381503263637,0.6814333176422293,0.8407130534790109,0.8403458213256484,0.5,0.6835334102977203,0.8412880966072456,0.8369757826343769,0.5448909997940063,0,chemprop,exp_1_default_parity_multitask,R/S_class,train,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8546260387811634,0.8486747225423511,0.5895063447465633,0.7947368421052632,0.7936507936507936,0.5,0.5921369082129391,0.7947368421052632,0.7845303867403315,0.5448909997940063,0,chemprop,exp_1_default_parity_multitask,R/S_class,val,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.8600554016620499,0.8676774388048629,0.5368421052631579,0.7684210526315789,0.7684210526315789,0.5,0.5059644256269407,0.7526315789473684,0.745945945945946,0.5448909997940063,0,chemprop,exp_1_default_parity_multitask,R/S_class,test,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.9973245118168222,0.9975038959910704,0.94487147440415,0.9723979298447384,0.9722222222222222,0.5,0.946566219435889,0.9732604945370903,0.9733905579399141,0.40316933393478394,0,chemprop,exp_1_default_parity_multitask,@/@@_class,train,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
0.988808864265928,0.989121113253806,0.874459698716736,0.9368421052631579,0.9354838709677419,0.5,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.40316933393478394,0,chemprop,exp_1_default_parity_multitask,@/@@_class,val,57,46,0.4202060401439667,True,val_loss,10,75,10,1e-05,exp1_default_parity
