AUROC,MCC,Accuracy,F1,AUPRC,fold,model,featurization,target,split,stopped_epoch
0.5,0.0,0.5,0.0,0.5000000000000001,1,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,test,14
0.5,0.0,0.5,0.4973544973544973,0.5000000000000001,1,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,test,14
0.493750580747265,0.0,0.5,0.0,0.5064117867703568,2,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,train,11
0.5090776791008031,0.0,0.5,0.6666666666666666,0.5001412269661141,2,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,train,11
0.5027829574279601,0.0,0.5,0.0,0.5107852846117659,2,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,train,11
0.5001108033240996,0.0,0.5,0.0,0.5003182938036564,2,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,val,11
0.5001108033240997,0.0,0.5,0.6666666666666666,0.5001214066340912,2,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,val,11
0.5,0.0,0.5,0.0,0.5000000000000001,2,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,val,11
0.49988919667590026,0.0,0.5,0.0,0.500037864445286,2,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,test,11
0.49994459833795013,0.0,0.5,0.6666666666666666,0.5,2,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,test,11
0.4999445983379502,0.0,0.5,0.0,0.5001594896331739,2,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,test,11
0.5212931294746473,0.0,0.5,0.0,0.5154274931432391,3,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,train,15
0.4860661990707382,0.0,0.5,0.6666666666666666,0.4852623464875275,3,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,train,15
0.4952386164442494,0.0,0.5,0.6666666666666666,0.4912171810918054,3,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,train,15
0.5,0.0,0.5,0.0,0.5000000000000001,3,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,val,15
0.5,0.0,0.5,0.6666666666666666,0.5,3,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,val,15
0.5001662049861496,0.0,0.5,0.6666666666666666,0.5000510986203374,3,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,val,15
0.5,0.0,0.5,0.0,0.5000000000000001,3,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,test,15
0.5,0.0,0.5,0.6666666666666666,0.5000000000000001,3,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,test,15
0.5,0.0,0.5,0.6666666666666666,0.5000000000000001,3,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,test,15
0.5087088115852507,0.0,0.5,0.6666666666666666,0.5067009783383072,4,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,train,17
0.5047850267896027,0.0,0.5,0.6666666666666666,0.5081310429133635,4,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,train,17
0.5033659367465786,0.016966219951976252,0.5005750431282346,0.0034423407917383822,0.5108736542210597,4,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,train,17
0.49994459833795013,0.0,0.5,0.6666666666666666,0.5000000000000001,4,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,val,17
0.5,0.0,0.5,0.6666666666666666,0.5000000000000001,4,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,val,17
0.5,0.0,0.5,0.0,0.5,4,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,val,17
0.5000554016620499,0.0,0.5,0.6666666666666666,0.5001422475106686,4,chemprop,exp_0_neg_control_no_stereo_multitask,R/S_class,test,17
0.5000554016620499,0.0,0.5,0.6666666666666666,0.5000331016219796,4,chemprop,exp_0_neg_control_no_stereo_multitask,@/@@_class,test,17
0.5,0.0,0.5,0.0,0.5000000000000001,4,chemprop,exp_0_neg_control_no_stereo_multitask,F/L_class,test,17
