AUROC,AUPRC,MCC,Accuracy,F1,threshold,MCC_tuned,Accuracy_tuned,F1_tuned,threshold_tuned,fold,model,featurization,target,split,fp_size
0.8536288088642658,0.8597935582467966,0.5265784148389183,0.7631578947368421,0.7668393782383419,0.5,0.5467459714878904,0.7684210526315789,0.7884615384615384,0.48047543475844073,2,RF,morgan_count_chiral,F/L_class,val,512
0.8771191135734072,0.8814816894134468,0.5687046880260318,0.7842105263157895,0.7875647668393783,0.5,0.5738190417570045,0.7842105263157895,0.7980295566502463,0.48047543475844073,2,RF,morgan_count_chiral,F/L_class,test,512
0.99319554343229,0.9934004289893493,0.8873907343098414,0.9436457734330075,0.9440639269406392,0.5,0.8824153324976177,0.9387579068430132,0.9418191750887736,0.4583724551507979,3,RF,morgan_count_chiral,F/L_class,train,512
0.7803878116343491,0.7796626071668548,0.33686076842660756,0.6684210526315789,0.6666666666666666,0.5,0.47704216875369704,0.7263157894736842,0.7636363636363637,0.4583724551507979,3,RF,morgan_count_chiral,F/L_class,val,512
0.8437119113573407,0.8452288925498803,0.47410465593076045,0.7368421052631579,0.7311827956989247,0.5,0.5214181844517154,0.7473684210526316,0.7818181818181819,0.4583724551507979,3,RF,morgan_count_chiral,F/L_class,test,512
0.9937072623747529,0.9938879357741182,0.893916361773487,0.9468085106382979,0.9461112729391203,0.5,0.8829705685664354,0.9387579068430132,0.9419776627621902,0.4504743365343521,4,RF,morgan_count_chiral,F/L_class,train,512
0.8785595567867035,0.8882807335035725,0.559010775439539,0.7789473684210526,0.7857142857142857,0.5,0.574923953598119,0.7684210526315789,0.8035714285714286,0.4504743365343521,4,RF,morgan_count_chiral,F/L_class,val,512
0.8628254847645428,0.8597335196239908,0.5473987486932372,0.7736842105263158,0.774869109947644,0.5,0.5269954501092706,0.7526315789473684,0.783410138248848,0.4504743365343521,4,RF,morgan_count_chiral,F/L_class,test,512
0.5,0.5,0.0,0.5,0.505544498151834,0.5,0.0,0.5,0.505544498151834,0.5,0,RF,morgan_count_no_chiral,R/S_class,train,512
0.5,0.5000000000000001,0.0,0.5,0.4919786096256685,0.5,0.0,0.5,0.4919786096256685,0.5,0,RF,morgan_count_no_chiral,R/S_class,val,512
